SampleIndex,StartCandleIndex,StartCandleId,TradeIndex,Loss,MAE,MSE,BuyProfitPercent,BuyOrderDuration,BuyOrderForcedClose,BuyOrderTradesCount,SellProfitPercent,SellOrderDuration,SellOrderForcedClose,SellOrderTradesCount
139227,1171062,28756372,37716514,0.0000020255,0.0013671493,0.0000020255,-0.0011170779,7193682000,true,1674,0.0012063510,7207168000,true,1884
139228,186204,27459641,3084426,0.0000051153,0.0022599155,0.0000051153,0.0008710179,7200815000,true,1009,-0.0016252612,7194595000,true,1425
139229,1572400,29157862,165216205,0.0002259914,0.0150302146,0.0002259914,0.0144299177,7200258145,true,23493,-0.0142362220,7199524595,false,24570
139231,1292900,28878354,50513449,0.0002992454,0.0172888208,0.0002992454,0.0177894555,7201590000,true,13638,-0.0172706413,7195789000,false,13337
139234,1656142,29241604,200353244,0.0000383610,0.0061854860,0.0000383610,-0.0039699168,7194059204,true,10023,0.0040542784,7200633832,true,15508
139235,1008017,28591911,24826051,0.0000037909,0.0019435458,0.0000037909,-0.0009545888,7203644000,true,1871,0.0010227772,7195938000,true,1281
139236,1362273,28947731,59202061,0.0000277657,0.0052692485,0.0000277657,0.0065586865,7191882544,true,5649,-0.0062018793,7203368355,true,5475
139237,1262562,28848016,45083189,0.0000113999,0.0033535254,0.0000113999,-0.0026783744,7200071000,true,9400,0.0026669710,7199598000,true,11638
139243,1493874,29079336,124713340,0.0000725338,0.0085146185,0.0000725338,-0.0062927668,7201397884,true,36513,0.0064915997,7199978673,true,41819
139245,372918,27647777,12158397,0.0001292658,0.0113412570,0.0001292658,-0.0089328927,7202439000,true,3820,0.0084337099,7186487000,true,3674
139247,1521415,29106877,144285477,0.0000449040,0.0066829780,0.0000449040,0.0067182579,7198993989,true,33003,-0.0065355151,7200122956,true,34626
139249,1537655,29123117,155156463,0.0000227018,0.0047628907,0.0000227018,-0.0049300897,7202023821,true,19105,0.0049798919,7196931091,true,22635
139250,1297940,28883394,51166685,0.0000303101,0.0054804906,0.0000303101,-0.0042728802,7178178000,true,8823,0.0045893021,7200327000,true,8273
139251,1641264,29226726,192196682,0.0000003542,0.0004807486,0.0000003542,0.0000995906,7200043601,true,40954,0.0002358732,7194243756,true,30721
139252,1615231,29200693,177725562,0.0000372001,0.0060896091,0.0000372001,0.0056503875,7200182136,true,13842,-0.0056311734,7198555554,true,14687
139253,815763,28396029,20478057,0.0000334033,0.0057753366,0.0000334033,0.0060597359,7198838000,true,1829,-0.0052542287,7204473000,true,1735
139254,265650,27540372,5664054,0.0002067520,0.0143637136,0.0002067520,0.0148115963,7201584000,true,3115,-0.0143468837,7195757000,false,5275
139255,1135816,28721064,35623114,0.0000036873,0.0018002811,0.0000036873,-0.0009748992,7219853000,true,1875,0.0017138610,7197736000,true,1573
139256,1574229,29159691,166092447,0.0000568933,0.0074550286,0.0000568933,-0.0057098273,7200108353,true,34331,0.0057521606,7199933568,true,33842
139258,1442232,29027694,78479769,0.0000858263,0.0092642400,0.0000858263,0.0093299765,7200116639,true,87925,-0.0100543708,7199882250,false,88084
139260,1433878,29019340,71402105,0.0001179646,0.0108575113,0.0001179646,-0.0104990755,7201347214,true,9794,0.0108505895,7199619340,true,11938
139262,1739288,29324750,238233261,0.0000492609,0.0057747560,0.0000492609,-0.0100045374,7199339328,false,40141,0.0025954212,7201300728,true,45065
139266,1315084,28900538,53903035,0.0000045231,0.0018596336,0.0000045231,-0.0027053444,7201790000,true,4411,0.0027510777,7197186000,true,4633
139268,827240,28407703,20695853,0.0000591338,0.0076880055,0.0000591338,0.0065171632,7240369000,true,1272,-0.0063865289,7185923000,true,1055
139272,1710267,29295729,225888569,0.0000030422,0.0016191312,0.0000030422,-0.0017710112,7202120146,true,10101,0.0017435336,7199299892,true,11121
139273,406131,27681007,14059202,0.0000103094,0.0031983585,0.0000103094,0.0038484229,7200401000,true,3141,-0.0039476659,7192957000,true,2370
139274,1131580,28716828,35119735,0.0003700202,0.0192269310,0.0003700202,-0.0193833956,7200444000,true,4727,0.0193553228,7196827000,true,13698
139275,1316319,28901773,54031414,0.0000045401,0.0021153116,0.0000045401,-0.0032690822,7194070000,true,6241,0.0036247954,7201023000,true,5324
139276,1616170,29201632,178345000,0.0000401995,0.0054212273,0.0000401995,0.0028595051,7200940403,true,22138,-0.0100002166,7186436473,false,21540
139278,1523852,29109314,145728619,0.0004587190,0.0214128532,0.0004587190,0.0200153624,5323345386,false,42534,-0.0195574566,5323341876,false,45428
139284,358612,27633469,11138023,0.0002845512,0.0168500952,0.0002845512,0.0185293150,7196038000,true,3089,-0.0179946666,7200541000,true,3033
139285,852206,28433407,21196430,0.0000612277,0.0075338897,0.0000612277,-0.0100570093,7198543000,false,3269,-0.0058422061,7205383000,true,4820
139290,1221771,28807167,41942745,0.0000002552,0.0005036322,0.0000002552,0.0023210689,7160040000,true,1655,-0.0017310667,7200535000,true,2076
139294,1715384,29300846,227429156,0.0000049871,0.0020451345,0.0000049871,-0.0008699329,7198669017,true,20080,0.0011796446,7200799550,true,16956
139295,1049881,28634674,26517942,0.0000336212,0.0056711161,0.0000336212,0.0058826375,7195122000,true,4591,-0.0051729335,7210014000,true,3255
139296,1375032,28960490,61513517,0.0003944453,0.0198422186,0.0003944453,0.0200020420,6347560458,false,25840,-0.0196795348,6346724328,false,21645
139303,293654,27568447,6906555,0.0003078704,0.0175278448,0.0003078704,0.0200385228,4872114000,false,1715,-0.0191818838,4871175000,false,1134
139306,1536099,29121561,154611727,0.0000324570,0.0046029277,0.0000324570,0.0015918435,7200310331,true,23843,-0.0100957703,7199032065,false,21483
139307,1379874,28965333,62005860,0.0005868545,0.0241987854,0.0005868545,-0.0194751428,6345021204,false,11617,0.0200011611,6345187423,false,16804
139308,1364894,28950352,59497330,0.0000319581,0.0055332007,0.0000319581,-0.0043696469,7200408363,true,17784,0.0049126687,7196674224,true,18052
139309,1379139,28964598,61971026,0.0000013142,0.0009894579,0.0000013142,0.0010653785,7212725243,true,1694,-0.0009260408,7191258669,true,1727
139310,305033,27579854,7425313,0.0000031478,0.0017293856,0.0000031478,0.0032583303,7154702000,true,1662,-0.0031521411,7216333000,true,1725
139313,382359,27657220,12746642,0.0003270457,0.0179763492,0.0003270457,0.0200013947,4186982000,false,2903,-0.0175004912,4186187000,false,3348
139314,456045,27731045,16368644,0.0001102531,0.0104679754,0.0001102531,-0.0073541638,7190493000,true,2304,0.0086290274,7200774000,true,2292
139315,1362018,28947476,59165666,0.0000081713,0.0028168929,0.0000081713,-0.0019175067,7197064584,true,9419,0.0018551950,7201055289,true,10201
139316,444383,27719351,15815382,0.0004325811,0.0207833759,0.0004325811,-0.0189867055,5147786000,false,1733,0.0201907251,5148300000,false,1813
139318,1362613,28948071,59226922,0.0000007909,0.0007144258,0.0000007909,0.0000650175,7198298871,true,3170,-0.0002074374,7202115115,true,2899
139321,9546,27265963,214687,0.0000661631,0.0081320442,0.0000661631,-0.0077732517,7176807000,true,754,0.0078850413,7200141000,true,1778
139322,409223,27684099,14266523,0.0001233084,0.0111030377,0.0001233084,-0.0096308897,7204915000,true,2569,0.0097147555,7197732000,true,2794
139325,452794,27727794,16196482,0.0001222864,0.0110368105,0.0001222864,0.0107353851,7201499000,true,3579,-0.0102304833,7198538000,false,3787
139326,1747143,29332605,241663695,0.0003351641,0.0183031969,0.0003351641,-0.0175699308,7200005408,true,22255,0.0177045083,7195372666,true,34467
139329,1657952,29243414,201162956,0.0003541805,0.0188174099,0.0003541805,0.0200091476,5494526703,false,15907,-0.0199445499,5494500260,false,23616
