
> fancy-strategy@1.0.0 ai:train
> UV_THREADPOOL_SIZE=16 node src/ai/train.js binance_ethusdc

Reading 10281524040 bytes into memory...
Read progress: 524288000/10281524040 (5.1%)
Read progress: 1048576000/10281524040 (10.2%)
Read progress: 1572864000/10281524040 (15.3%)
Read progress: 2097152000/10281524040 (20.4%)
Read progress: 2621440000/10281524040 (25.5%)
Read progress: 3145728000/10281524040 (30.6%)
Read progress: 3670016000/10281524040 (35.7%)
Read progress: 4194304000/10281524040 (40.8%)
Read progress: 4718592000/10281524040 (45.9%)
Read progress: 5242880000/10281524040 (51.0%)
Read progress: 5767168000/10281524040 (56.1%)
Read progress: 6291456000/10281524040 (61.2%)
Read progress: 6815744000/10281524040 (66.3%)
Read progress: 7340032000/10281524040 (71.4%)
Read progress: 7864320000/10281524040 (76.5%)
Read progress: 8388608000/10281524040 (81.6%)
Read progress: 8912896000/10281524040 (86.7%)
Read progress: 9437184000/10281524040 (91.8%)
Read progress: 9961472000/10281524040 (96.9%)
Read progress: 10281524040/10281524040 (100.0%)
Successfully read all 10281524040 bytes
First 16 bytes: c770c000000000c048859a645ecf0500
Middle 16 bytes: 0acf98405eba490c022bef3f8e1ebfb7
Failed to load model from /Users/shiretu/work/crypto/models/binance_ethusdc/tf/model.json: Error: Path /Users/shiretu/work/crypto/models/binance_ethusdc/tf/model.json does not exist: loading failed. Creating a new one.
Sample 000064 | idx  376009 | Trade 012407498 | Candle 027650868 | Loss 7.187514 | MAE 1.945238 | MSE 7.187514 | Buy 0.0041/120 | Sell -0.0100/119 | TradesCount 15633
Sample 000065 | idx 1322298 | Trade 054636549 | Candle 028907753 | Loss 108.214439 | MAE 9.873456 | MSE 108.214439 | Buy 0.0060/119 | Sell -0.0058/120 | TradesCount 29878
Sample 000067 | idx 1225644 | Trade 042163750 | Candle 028811043 | Loss 846.115601 | MAE 29.088066 | MSE 846.115601 | Buy -0.0018/118 | Sell 0.0021/120 | TradesCount 15653
Sample 000069 | idx 1668321 | Trade 207331732 | Candle 029253783 | Loss 47.490177 | MAE 6.828218 | MSE 47.490177 | Buy -0.0018/119 | Sell 0.0019/120 | TradesCount 65362
Sample 000072 | idx 1088026 | Trade 029314502 | Candle 028673242 | Loss 39.351830 | MAE 5.469613 | MSE 39.351830 | Buy 0.0085/120 | Sell -0.0078/119 | TradesCount 80886
Sample 000073 | idx 1522918 | Trade 144998798 | Candle 029108380 | Loss 35.457996 | MAE 4.611041 | MSE 35.457996 | Buy -0.0044/120 | Sell 0.0045/119 | TradesCount 70984
Sample 000074 | idx  367850 | Trade 011846562 | Candle 027642708 | Loss 135.955383 | MAE 10.505307 | MSE 135.955383 | Buy -0.0193/38 | Sell 0.0200/38 | TradesCount 13545
Sample 000075 | idx 1708209 | Trade 225226876 | Candle 029293671 | Loss 238.786896 | MAE 14.094073 | MSE 238.786896 | Buy 0.0136/119 | Sell -0.0134/120 | TradesCount 45651
Sample 000078 | idx 1113777 | Trade 032885865 | Candle 028699009 | Loss 1.429768 | MAE 1.152025 | MSE 1.429768 | Buy 0.0164/119 | Sell -0.0157/120 | TradesCount 39605
Sample 000080 | idx 1445334 | Trade 083530259 | Candle 029030796 | Loss 24.389452 | MAE 4.013269 | MSE 24.389452 | Buy 0.0009/120 | Sell -0.0009/119 | TradesCount 321687
Sample 000082 | idx 1627406 | Trade 182290944 | Candle 029212868 | Loss 1147.447266 | MAE 33.408554 | MSE 1147.447266 | Buy 0.0200/26 | Sell -0.0198/26 | TradesCount 140749
Sample 000083 | idx  963759 | Trade 023542620 | Candle 028547449 | Loss 619.525818 | MAE 24.569471 | MSE 619.525818 | Buy 0.0052/120 | Sell -0.0053/119 | TradesCount 5543
Sample 000085 | idx  272166 | Trade 005945673 | Candle 027546895 | Loss 1140.485229 | MAE 32.708706 | MSE 1140.485229 | Buy 0.0157/120 | Sell -0.0146/119 | TradesCount 6334
Sample 000088 | idx 1304040 | Trade 052147731 | Candle 028889494 | Loss 7.296614 | MAE 2.700205 | MSE 7.296614 | Buy 0.0154/119 | Sell -0.0151/120 | TradesCount 40934
Sample 000089 | idx  320539 | Trade 008969455 | Candle 027595366 | Loss 70.042030 | MAE 6.299029 | MSE 70.042030 | Buy 0.0200/37 | Sell -0.0185/37 | TradesCount 27742
Sample 000090 | idx 1234364 | Trade 042700054 | Candle 028819780 | Loss 363.164032 | MAE 18.490454 | MSE 363.164032 | Buy 0.0000/119 | Sell 0.0002/120 | TradesCount 13174
Sample 000091 | idx  394621 | Trade 013419929 | Candle 027669491 | Loss 0.560780 | MAE 0.717740 | MSE 0.560780 | Buy -0.0199/25 | Sell 0.0200/25 | TradesCount 16008
Sample 000092 | idx 1442351 | Trade 078654323 | Candle 029027813 | Loss 66.098007 | MAE 8.106686 | MSE 66.098007 | Buy 0.0099/119 | Sell -0.0099/120 | TradesCount 552394
Sample 000093 | idx 1318261 | Trade 054157028 | Candle 028903716 | Loss 10.104177 | MAE 2.748655 | MSE 10.104177 | Buy 0.0001/119 | Sell -0.0001/120 | TradesCount 8481
Sample 000094 | idx 1009164 | Trade 024855395 | Candle 028593064 | Loss 2443.900879 | MAE 35.870926 | MSE 2443.900879 | Buy 0.0004/120 | Sell 0.0001/119 | TradesCount 8763
Sample 000095 | idx 1089724 | Trade 029570359 | Candle 028674940 | Loss 24.686666 | MAE 3.680535 | MSE 24.686666 | Buy 0.0070/120 | Sell -0.0101/119 | TradesCount 26437
Sample 000096 | idx  973920 | Trade 023979031 | Candle 028557622 | Loss 549.608643 | MAE 20.379131 | MSE 549.608643 | Buy 0.0018/120 | Sell -0.0019/119 | TradesCount 4988
Sample 000097 | idx 1474302 | Trade 101489490 | Candle 029059764 | Loss 129.221054 | MAE 9.203513 | MSE 129.221054 | Buy 0.0071/119 | Sell -0.0070/120 | TradesCount 136444
Sample 000099 | idx  422035 | Trade 014901317 | Candle 027696929 | Loss 3.300723 | MAE 1.815174 | MSE 3.300723 | Buy 0.0202/70 | Sell -0.0186/70 | TradesCount 8470
Sample 000101 | idx 1014841 | Trade 025053178 | Candle 028598815 | Loss 63.631268 | MAE 6.623395 | MSE 63.631268 | Buy 0.0073/119 | Sell -0.0068/120 | TradesCount 14610
Sample 000102 | idx 1687996 | Trade 219077916 | Candle 029273458 | Loss 226.143677 | MAE 11.373743 | MSE 226.143677 | Buy -0.0032/119 | Sell 0.0032/120 | TradesCount 53073
Sample 000104 | idx 1764515 | Trade 253789707 | Candle 029349977 | Loss 0.370042 | MAE 0.525675 | MSE 0.370042 | Buy -0.0056/119 | Sell 0.0059/120 | TradesCount 71182
Sample 000105 | idx  221007 | Trade 003923415 | Candle 027495302 | Loss 1.063899 | MAE 0.796581 | MSE 1.063899 | Buy 0.0101/119 | Sell -0.0093/120 | TradesCount 5826
Sample 000107 | idx 1259925 | Trade 044649899 | Candle 028845379 | Loss 70.517937 | MAE 6.580009 | MSE 70.517937 | Buy -0.0084/120 | Sell 0.0082/119 | TradesCount 17165
Sample 000108 | idx 1472763 | Trade 100406048 | Candle 029058225 | Loss 48.957245 | MAE 6.227578 | MSE 48.957245 | Buy 0.0016/120 | Sell -0.0016/119 | TradesCount 185664
Sample 000110 | idx 1753728 | Trade 247143403 | Candle 029339190 | Loss 141.031403 | MAE 11.121216 | MSE 141.031403 | Buy 0.0040/120 | Sell -0.0035/119 | TradesCount 247531
Sample 000116 | idx  435846 | Trade 015493436 | Candle 027710791 | Loss 611.962708 | MAE 24.657242 | MSE 611.962708 | Buy 0.0129/120 | Sell -0.0120/118 | TradesCount 10931
Sample 000117 | idx 1234041 | Trade 042680958 | Candle 028819457 | Loss 329.283875 | MAE 17.187679 | MSE 329.283875 | Buy -0.0098/120 | Sell 0.0096/119 | TradesCount 21388
Sample 000118 | idx  420140 | Trade 014806850 | Candle 027695032 | Loss 144.189545 | MAE 12.007866 | MSE 144.189545 | Buy 0.0026/120 | Sell -0.0025/119 | TradesCount 7621
Sample 000119 | idx 1761931 | Trade 252437025 | Candle 029347393 | Loss 6.087483 | MAE 1.797302 | MSE 6.087483 | Buy 0.0200/86 | Sell -0.0198/86 | TradesCount 78018
Sample 000121 | idx 1080064 | Trade 028159217 | Candle 028665268 | Loss 204.328674 | MAE 14.273432 | MSE 204.328674 | Buy -0.0069/120 | Sell 0.0067/119 | TradesCount 30494
Sample 000122 | idx  797564 | Trade 020190503 | Candle 028377491 | Loss 12.642189 | MAE 3.517995 | MSE 12.642189 | Buy 0.0047/119 | Sell -0.0044/120 | TradesCount 5043
Sample 000126 | idx 1130996 | Trade 035073915 | Candle 028716244 | Loss 475.244568 | MAE 21.773201 | MSE 475.244568 | Buy 0.0109/119 | Sell -0.0104/120 | TradesCount 17276
Sample 000130 | idx 1126106 | Trade 034011055 | Candle 028711353 | Loss 661.815674 | MAE 25.184259 | MSE 661.815674 | Buy -0.0196/103 | Sell 0.0200/103 | TradesCount 6409
Sample 000132 | idx 1768738 | Trade 255920614 | Candle 029354200 | Loss 0.286166 | MAE 0.472500 | MSE 0.286166 | Buy 0.0039/120 | Sell -0.0035/119 | TradesCount 54211
Sample 000134 | idx 1738305 | Trade 237816655 | Candle 029323767 | Loss 186.845963 | MAE 13.322125 | MSE 186.845963 | Buy -0.0045/120 | Sell 0.0046/119 | TradesCount 143722
Sample 000135 | idx 1286393 | Trade 049431201 | Candle 028871847 | Loss 2.288204 | MAE 1.349830 | MSE 2.288204 | Buy -0.0100/119 | Sell 0.0087/120 | TradesCount 24011
Sample 000136 | idx 1222468 | Trade 041969438 | Candle 028807864 | Loss 103.974258 | MAE 10.112591 | MSE 103.974258 | Buy 0.0001/120 | Sell -0.0102/119 | TradesCount 12791
Sample 000138 | idx 1477713 | Trade 105392397 | Candle 029063175 | Loss 564.441528 | MAE 19.494310 | MSE 564.441528 | Buy -0.0026/119 | Sell 0.0027/120 | TradesCount 176651
Sample 000139 | idx 1423940 | Trade 068588783 | Candle 029009402 | Loss 298.083313 | MAE 14.809187 | MSE 298.083313 | Buy -0.0197/24 | Sell 0.0200/24 | TradesCount 25192
Sample 000141 | idx 1191744 | Trade 039815150 | Candle 028777099 | Loss 4.788640 | MAE 2.187559 | MSE 4.788640 | Buy 0.0042/119 | Sell -0.0041/120 | TradesCount 10241
Sample 000143 | idx 1406973 | Trade 066434976 | Candle 028992433 | Loss 482.187317 | MAE 21.954895 | MSE 482.187317 | Buy -0.0089/120 | Sell 0.0091/119 | TradesCount 39796
Sample 000144 | idx 1674415 | Trade 211335076 | Candle 029259877 | Loss 19.570889 | MAE 3.353767 | MSE 19.570889 | Buy -0.0105/119 | Sell 0.0107/120 | TradesCount 133823
Sample 000145 | idx 1678787 | Trade 214150016 | Candle 029264249 | Loss 19.938713 | MAE 4.464122 | MSE 19.938713 | Buy 0.0200/51 | Sell -0.0197/51 | TradesCount 96896
Sample 000146 | idx 1652373 | Trade 198563819 | Candle 029237835 | Loss 42.506310 | MAE 6.386938 | MSE 42.506310 | Buy -0.0002/120 | Sell 0.0002/119 | TradesCount 90740
Sample 000147 | idx 1510703 | Trade 136998922 | Candle 029096165 | Loss 829.654358 | MAE 27.587978 | MSE 829.654358 | Buy 0.0014/120 | Sell -0.0013/119 | TradesCount 112859
Sample 000148 | idx  422424 | Trade 014919508 | Candle 027697318 | Loss 8.445960 | MAE 2.832564 | MSE 8.445960 | Buy -0.0081/120 | Sell 0.0084/119 | TradesCount 7842
Sample 000153 | idx 1750879 | Trade 245012407 | Candle 029336341 | Loss 864.385132 | MAE 27.043098 | MSE 864.385132 | Buy 0.0020/119 | Sell -0.0021/120 | TradesCount 122234
Sample 000155 | idx  331927 | Trade 009588545 | Candle 027606757 | Loss 24.931093 | MAE 4.281272 | MSE 24.931093 | Buy -0.0111/119 | Sell 0.0115/120 | TradesCount 8541
